trial_index,time_elapsed,subject_id,rt,response,position_of_items,colors_of_items,color_of_target,wheel_spin,response_angle,physical_response_angle,reported_color_angle,reported_color_discrete,which_test,set_size,wheel_num_options,actual_mask_duration,actual_stim_duration,CMDispTime,maskArray,maskRotation,item_positions,task,randomSpinAmount,subNo,targetLocation,targetLocationDeg,colorCorrected,distance,colorUnCorrected,distance1,distance2
444,1590979,"558943fafdf99b5ccd435cb3",2154,"","[6]","[233]",233,248,282.251283822378,282.251283822378,34.251283822378,34,0,1,0,158.227999999886,0,0,"[[[""img/mask4.png""]]]","","[6]","color",248,1,6,180,282.251283822378,102.251283822378,282.251283822378,102.251283822378,102.251283822378
458,1636091,"558943fafdf99b5ccd435cb3",2433,"","[3,1,7,4,6]","[289,201,18,125,237]",289,249,289.42607102493,289.42607102493,40.4260710249298,40,0,5,0,144.767999999924,0,0,"[[[""img/mask73.png""],[""img/mask15.png""],[""img/mask19.png""],[""img/mask23.png""],[""img/mask79.png""]]]","","[3,1,7,4,6]","color",249,1,3,315,289.42607102493,25.5739289750702,289.42607102493,25.5739289750702,25.5739289750702
460,1642483,"558943fafdf99b5ccd435cb3",2560,"","[6,1,0,7,4]","[63,220,269,38,86]",63,343,212.359256975069,212.359256975069,229.359256975069,228,0,5,0,153.183999999892,0,0,"[[[""img/mask53.png""],[""img/mask57.png""],[""img/mask22.png""],[""img/mask97.png""],[""img/mask9.png""]]]","","[6,1,0,7,4]","color",343,1,6,180,212.359256975069,32.3592569750691,212.359256975069,32.3592569750691,32.3592569750691
462,1647683,"558943fafdf99b5ccd435cb3",2510,"","[2,4,1,3,6]","[177,87,219,303,44]",177,217,355.213360340106,355.213360340106,138.213360340106,138,0,5,0,155.973999999929,0,0,"[[[""img/mask46.png""],[""img/mask75.png""],[""img/mask17.png""],[""img/mask38.png""],[""img/mask34.png""]]]","","[2,4,1,3,6]","color",217,1,2,0,-4.78663965989364,4.78663965989364,355.213360340106,4.78663965989364,355.213360340106
472,1676507,"558943fafdf99b5ccd435cb3",2767,"","[3]","[94]",94,300,147.08851786381,147.08851786381,207.08851786381,204,0,1,0,144.497999999905,0,0,"[[[""img/mask50.png""]]]","","[3]","color",300,1,3,315,507.08851786381,167.91148213619,147.08851786381,192.08851786381,167.91148213619
496,1749067,"558943fafdf99b5ccd435cb3",2365,"","[3]","[34]",34,76,289.77601860142,289.77601860142,213.77601860142,214,0,1,0,144.246000000043,0,0,"[[[""img/mask34.png""]]]","","[3]","color",76,1,3,315,289.77601860142,25.2239813985805,289.77601860142,25.2239813985805,25.2239813985805
20,389041,"5bbeb9e16322c500015ae44c",4175.29999999702,"","[4,2,1,0,3]","[221,112,258,187,24]",221,157,120.728085999245,120.728085999245,323.728085999245,320,0,5,0,147.938000001479,0,0,"[[[""img/mask48.png""],[""img/mask100.png""],[""img/mask59.png""],[""img/mask8.png""],[""img/mask32.png""]]]","","[4,2,1,0,3]","color",157,2,4,270,480.728085999245,149.271914000755,120.728085999245,210.728085999245,149.271914000755
24,403011,"5bbeb9e16322c500015ae44c",3354.5,"","[6,0,3,2,4]","[24,235,266,311,100]",24,1,258.969137618549,258.969137618549,257.969137618549,258,0,5,0,156.820999995514,0,0,"[[[""img/mask52.png""],[""img/mask78.png""],[""img/mask5.png""],[""img/mask46.png""],[""img/mask12.png""]]]","","[6,0,3,2,4]","color",1,2,6,180,258.969137618549,78.9691376185486,258.969137618549,78.9691376185486,78.9691376185486
26,408774,"5bbeb9e16322c500015ae44c",2312.89999999851,"","[3,6,2]","[226,98,184]",226,287,320.14168334587,320.14168334587,33.1416833458699,33,0,3,0,151.475999998511,0,0,"[[[""img/mask27.png""],[""img/mask28.png""],[""img/mask61.png""]]]","","[3,6,2]","color",287,2,3,315,320.14168334587,5.14168334586992,320.14168334587,5.14168334586992,5.14168334586992
34,432085,"5bbeb9e16322c500015ae44c",3242.10000000149,"","[7]","[332]",332,1,87.964446199584,87.964446199584,86.964446199584,83,0,1,0,145.714999996999,0,0,"[[[""img/mask35.png""]]]","","[7]","color",1,2,7,135,87.964446199584,47.035553800416,87.964446199584,47.035553800416,47.035553800416
